Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID,year,player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
yusei kikuchi,32,649,Maj-AL,Toronto,32,32,11.0,6.0,,167.2,165,78,72,48,181,27,4,3.86,646,27,1,0,16,0,14,1,2,700,2818,0.64,0.16,0.12,0.4,0.26,0.08,1.27,0.315,9.7,3.77,579328,2023,579328,700,25.9,6.9,0.319,0.319,37.7,9.0,42.4,80.862697662,94.432324264,28.0,48.7
george kirby,25,647,Maj-AL,Seattle,31,31,13.0,10.0,,190.2,179,74,71,19,172,22,6,3.35,727,28,7,1,18,3,17,4,0,757,2825,0.71,0.16,0.11,0.45,0.22,0.07,1.038,0.293,8.1,9.05,669923,2023,669923,757,22.7,2.5,0.284,0.305,32.0,7.5,40.9,78.350455269,94.249794794,22.9,54.5
michael kopech,27,658,Maj-AL,Chicago,30,27,5.0,12.0,,129.1,115,80,78,91,134,29,11,5.43,483,21,2,0,11,5,32,7,0,591,2430,0.58,0.16,0.1,0.36,0.2,0.09,1.593,0.265,9.3,1.47,656629,2023,656629,591,22.7,15.4,0.363,0.363,31.6,12.7,42.4,79.995233636,94.720039517,26.9,42.1
dean kremer,27,650,Maj-AL,Baltimore,32,32,13.0,5.0,,172.2,171,85,79,55,157,27,5,4.12,673,26,1,0,10,2,9,6,1,735,2927,0.64,0.16,0.1,0.4,0.28,0.05,1.309,0.293,8.2,2.85,665152,2023,665152,735,21.4,7.5,0.317,0.339,36.9,8.9,40.3,79.052297752,94.393783895,24.0,47.7
pablo lopez,27,651,Maj-AL,Minnesota,31,31,10.0,8.0,,188.2,174,81,79,45,226,24,8,3.77,721,25,5,1,9,4,8,3,2,780,2941,0.68,0.16,0.14,0.45,0.23,0.07,1.161,0.316,10.8,5.02,641154,2023,641154,801,29.2,6.0,0.294,0.269,32.4,6.3,34.8,75.934517778,93.235848194,30.3,51.7
michael lorenzen,31,647,"Maj-AL,Maj-NL","Detroit,Philadelphia",29,25,9.0,9.0,1.0,153.0,138,76,71,47,111,20,2,4.18,567,26,1,0,19,4,2,3,2,624,2368,0.66,0.16,0.09,0.42,0.23,0.05,1.209,0.268,6.5,2.36,547179,2023,547179,624,17.8,7.5,0.304,0.326,33.9,8.0,40.2,80.116257074,94.295669956,21.7,49.4
seth lugo,33,652,Maj-NL,San Diego,26,26,8.0,7.0,,146.1,140,62,58,36,140,19,3,3.57,563,29,3,0,12,2,6,1,1,604,2378,0.65,0.19,0.09,0.45,0.26,0.04,1.203,0.298,8.6,3.89,607625,2023,607625,604,23.2,6.0,0.306,0.323,34.6,9.6,44.2,80.522905755,94.837821229,21.9,46.3
jesus luzardo,25,650,Maj-NL,Miami,31,31,9.0,10.0,,173.0,160,79,71,51,203,22,6,3.69,660,43,3,1,17,2,10,3,5,720,2898,0.65,0.16,0.14,0.41,0.22,0.08,1.22,0.316,10.6,3.98,666200,2023,666200,741,28.1,7.4,0.307,0.307,34.7,9.5,40.0,78.474338846,94.421479593,31.4,48.6
jordan lyles,32,649,Maj-AL,Kansas City,31,31,6.0,17.0,,177.2,176,130,124,45,120,39,6,6.28,689,48,2,0,13,5,9,2,1,748,2818,0.63,0.15,0.09,0.34,0.23,0.1,1.244,0.256,6.1,2.67,543475,2023,543475,748,16.0,6.0,0.34,0.339,34.6,9.9,35.5,78.646858035,93.749665333,20.1,48.1
lance lynn,36,649,"Maj-AL,Maj-NL","Chicago,Los Angeles",31,31,13.0,11.0,,178.0,186,125,115,63,185,43,8,5.81,711,26,3,1,12,2,7,2,0,785,3073,0.64,0.14,0.13,0.37,0.24,0.09,1.399,0.295,9.4,2.94,458681,2023,458681,808,23.6,8.3,0.347,0.337,35.2,10.4,39.3,77.065476868,94.313936189,28.8,50.1
tylor megill,27,648,Maj-NL,New York,25,25,9.0,8.0,,126.1,141,76,66,58,105,18,6,4.7,500,25,0,0,19,2,11,3,4,567,2235,0.6,0.15,0.09,0.44,0.24,0.05,1.575,0.325,7.5,1.81,656731,2023,656731,567,18.5,10.2,0.35,0.365,37.0,9.1,42.6,78.869756548,94.663499746,23.4,44.9
miles mikolas,34,647,Maj-NL,St. Louis,34,34,9.0,13.0,,198.0,216,105,102,39,131,26,7,4.64,782,48,5,0,14,8,12,5,1,839,3107,0.67,0.18,0.07,0.39,0.26,0.07,1.288,0.3,6.0,3.36,571945,2023,571945,860,15.9,4.5,0.33,0.354,38.9,9.8,43.0,80.242845536,94.593177009,16.7,49.7
bobby miller,24,647,Maj-NL,Los Angeles,22,22,11.0,4.0,,124.1,105,53,52,32,119,12,6,3.76,464,22,3,0,9,3,14,1,1,505,1961,0.65,0.17,0.11,0.48,0.23,0.05,1.102,0.277,8.6,3.72,676272,2023,676272,505,23.6,6.3,0.283,0.286,33.3,6.0,37.6,77.304123023,93.812180058,26.8,48.2
bryce miller,24,651,Maj-AL,Seattle,25,25,8.0,7.0,,131.1,124,64,63,26,119,18,7,4.32,501,36,0,0,9,2,6,4,2,537,2095,0.67,0.15,0.11,0.35,0.28,0.08,1.142,0.29,8.2,4.58,682243,2023,682243,537,22.2,4.8,0.309,0.337,38.7,10.9,42.1,80.533819372,94.75094644,24.3,52.8
jordan montgomery,30,650,"Maj-AL,Maj-NL","St. Louis,Texas",32,32,10.0,11.0,,188.2,177,75,67,48,166,18,4,3.2,718,45,3,0,20,5,14,1,1,777,2918,0.64,0.17,0.11,0.44,0.27,0.06,1.193,0.295,7.9,3.46,656756,2023,656756,777,21.4,6.2,0.298,0.308,36.3,7.5,37.9,77.154947138,93.903178297,26.0,47.6
charlie morton,39,656,Maj-NL,Atlanta,30,30,14.0,12.0,,163.1,150,70,66,83,183,14,12,3.64,615,30,3,2,15,3,16,3,3,716,2847,0.61,0.18,0.13,0.44,0.26,0.05,1.427,0.323,10.1,2.2,450203,2023,450203,716,25.6,11.6,0.318,0.33,36.8,7.8,39.1,77.30793493,94.400073953,32.2,42.9
ryne nelson,25,647,Maj-NL,Arizona,29,27,8.0,8.0,,144.0,159,87,85,46,96,24,1,5.31,559,37,10,0,15,10,2,4,0,619,2355,0.65,0.15,0.09,0.37,0.23,0.08,1.424,0.301,6.0,2.09,669194,2023,669194,619,15.5,7.4,0.357,0.349,37.1,11.6,42.7,80.703908814,94.897921525,20.3,49.8
aaron nola,30,652,Maj-NL,Philadelphia,31,31,12.0,9.0,,190.0,174,100,91,43,198,31,1,4.31,726,34,3,0,15,4,21,5,3,776,3021,0.67,0.18,0.12,0.43,0.24,0.06,1.142,0.285,9.4,4.6,605400,2023,605400,793,25.5,5.7,0.303,0.298,36.3,8.3,38.5,78.53543572,94.143390037,26.0,49.3
bailey ober,27,647,Maj-AL,Minnesota,26,26,8.0,6.0,,144.1,125,58,55,29,146,22,7,3.43,539,24,1,0,8,2,3,6,1,577,2327,0.67,0.14,0.14,0.35,0.21,0.09,1.067,0.276,9.1,5.03,641927,2023,641927,577,25.3,5.0,0.294,0.295,33.4,9.6,35.7,77.740159286,93.490782916,28.7,53.1
shohei ohtani,28,686,Maj-AL,Los Angeles,22,22,10.0,5.0,,126.0,83,50,46,52,157,18,11,3.29,443,14,0,0,16,1,5,3,1,508,1996,0.64,0.17,0.13,0.47,0.2,0.08,1.071,0.242,11.2,3.02,660271,2023,660271,531,31.5,10.4,0.277,0.302,34.0,10.1,35.0,73.9743325,93.442735912,30.8,46.7
johan oviedo,25,651,Maj-NL,Pittsburgh,32,32,9.0,14.0,,177.2,161,91,85,83,158,19,13,4.31,678,41,5,1,12,4,9,3,0,781,2980,0.62,0.15,0.11,0.45,0.25,0.07,1.373,0.281,8.0,1.9,670912,2023,670912,781,20.2,10.6,0.319,0.329,32.2,7.6,40.2,77.184773602,94.173687869,26.0,46.5
