"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Warren, Will",701542,2025,348,29.6,10.1,".300",".303",33.8,8.2,47.3,"80.706261078","95.342107941",27.4,41.7
"Kikuchi, Yusei",579328,2025,411,24.1,10.7,".307",".328",31.1,10.1,41.2,"79.8649525","95.196618897",24.7,46.6
"Quantrill, Cal",615698,2024,656,16.8,10.5,".358",".351",37.1,7.3,41.2,"77.92321026","94.354738243",21.6,45.7
"Webb, Logan",657277,2025,461,27.5,5.2,".282",".285",34.1,5.8,36.7,"78.153235894","94.16795",25.2,46.7
"Brown, Ben",676962,2025,359,25.3,7.5,".356",".347",36.3,11.8,48.1,"83.006485726","95.628106524",27.8,47.9
"Gibson, Kyle",502043,2024,722,20.9,9.4,".323",".338",34.3,9.2,39.1,"76.558654534","94.071640304",25.9,42.9
"Ortiz, Luis",682847,2025,382,25.1,11,".315",".345",32.9,10.3,47.7,"81.226247","95.788528",28.9,46.5
"Alcantara, Sandy",645261,2025,360,17.5,9.4,".338",".354",34,9.7,44,"80.82672938","94.874078915",20.2,47.8
"Irvin, Jake",663623,2024,769,20.3,6.8,".314",".320",33,9.2,39.1,"77.537675273","94.341422273",22.3,48.5
"Myers, Tobias",668964,2024,569,22.3,6.3,".297",".317",36.4,8,38.7,"79.298209695","94.361623995",21.3,49.6
"Mahle, Tyler",641816,2025,308,18.2,8.8,".262",".330",36.4,7.6,37.8,"77.708945893","93.882076473",22.7,49.9
"Povich, Cade",700249,2025,285,23.9,8.1,".352",".391",40.4,13.5,51.3,"81.703099167","95.769027865",22.6,44.1
"Pivetta, Nick",601713,2025,362,27.9,6.6,".272",".316",36.9,11.9,40.3,"77.983074655","94.173609784",26.5,47.6
"Sánchez, Cristopher",650911,2025,387,26.6,7.2,".283",".291",25.6,5.6,40.4,"78.417274113","94.608362389",29.7,47.8
"Hendricks, Kyle",543294,2024,567,15.3,7.6,".339",".336",36.4,7.4,33.4,"73.587198843","93.098027796",18.9,46.2
"Harrison, Kyle",690986,2024,532,22.2,7.9,".330",".338",34.2,10.1,44.1,"80.405098066","94.933663315",23.6,46.2
"Assad, Javier",665871,2024,638,19.4,9.9,".330",".341",36,8.8,39.8,"78.304060092","94.272452936",17.9,42.5
