Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Jacob deGrom,37,1,Maj-AL,Texas,5,5,4.0,,,32.0,17,5,5,6,32,0,1,1.41,108,1,0,0,2,1,0,2,0,116,417,0.69,0.16,0.13,0.42,0.25,0.04,0.719,0.221,9.0,5.33,594798
Hunter Dobbins,25,6,Maj-AL,Boston,5,3,2.0,,,23.0,17,11,10,10,11,3,0,3.91,83,2,0,1,5,0,0,0,0,93,333,0.62,0.18,0.06,0.49,0.19,0.07,1.174,0.203,4.3,1.1,690928
Chase Dollander,23,1,Maj-NL,Colorado,5,5,,3.0,,23.2,25,16,15,9,11,4,0,5.7,93,3,0,0,2,0,3,1,1,102,392,0.61,0.16,0.08,0.52,0.24,0.05,1.437,0.269,4.2,1.22,801403
Jack Dreyer,26,2,Maj-NL,Los Angeles,9,2,,,,11.0,12,6,5,3,8,1,0,4.09,43,3,0,0,0,1,0,0,0,48,170,0.66,0.13,0.11,0.32,0.27,0.08,1.364,0.314,6.5,2.67,676263
Zach Eflin,31,5,Maj-AL,Baltimore,5,5,3.0,2.0,,27.2,39,17,17,6,24,6,0,5.53,116,6,0,0,3,1,1,1,2,124,439,0.66,0.15,0.1,0.47,0.24,0.02,1.627,0.379,7.8,4.0,621107
Bryce Elder,26,4,Maj-NL,Atlanta,4,4,,2.0,,22.0,26,13,13,7,22,3,2,5.32,90,6,1,0,1,0,1,0,0,100,350,0.61,0.18,0.08,0.54,0.28,0.03,1.5,0.354,9.0,3.14,693821
Dietrich Enns,34,0,Maj-AL,Detroit,1,1,1.0,,,5.0,1,0,0,2,4,0,0,0.0,15,0,0,0,1,0,1,0,0,17,77,0.71,0.16,0.16,0.64,0.09,0.09,0.6,0.091,7.2,2.0,608650
Logan Evans,24,16,Maj-AL,Seattle,1,1,,1.0,,5.0,7,4,4,2,5,1,0,7.2,20,2,1,0,0,1,0,0,0,23,87,0.57,0.18,0.09,0.31,0.25,0.06,1.8,0.4,9.0,2.5,688138
Bailey Falter,28,4,Maj-NL,Pittsburgh,5,5,3.0,,,25.2,23,11,11,10,11,3,0,3.86,93,6,0,0,5,0,3,0,0,105,382,0.63,0.16,0.07,0.44,0.2,0.12,1.286,0.253,3.9,1.1,663559
Erick Fedde,32,1,Maj-NL,St. Louis,5,5,,3.0,,25.1,26,14,13,12,18,3,0,4.62,100,5,1,0,0,1,11,0,1,114,440,0.59,0.18,0.05,0.31,0.32,0.06,1.5,0.288,6.4,1.5,607200
David Festa,25,4,Maj-AL,Minnesota,4,3,1.0,2.0,,18.0,23,22,20,10,17,6,1,10.0,75,4,0,0,1,1,3,1,1,87,343,0.62,0.11,0.15,0.47,0.15,0.08,1.833,0.321,8.5,1.7,701581
Braydon Fisher,24,2,Maj-AL,Toronto,13,1,,,,13.0,9,5,5,3,18,2,0,3.46,48,0,0,0,0,0,0,0,0,51,196,0.68,0.24,0.14,0.37,0.17,0.13,0.923,0.25,12.5,6.0,680755
Richard Fitts,25,1,Maj-AL,Boston,2,2,,1.0,,5.0,8,8,7,2,6,5,1,12.6,24,0,0,0,0,0,0,0,0,27,122,0.67,0.13,0.14,0.28,0.39,0.06,2.0,0.231,10.8,3.0,690916
Jack Flaherty,29,1,Maj-AL,Detroit,5,5,2.0,3.0,,25.0,22,19,19,16,28,5,1,6.84,95,5,0,0,0,0,1,1,0,112,451,0.63,0.19,0.1,0.34,0.27,0.07,1.52,0.274,10.1,1.75,656427
Bowden Francis,29,12,Maj-AL,Toronto,3,3,,2.0,,8.2,13,13,12,10,8,4,3,12.46,37,0,0,0,0,1,0,0,1,51,222,0.58,0.14,0.09,0.3,0.27,0.03,2.654,0.346,8.3,0.8,670102
Kyle Freeland,32,15,Maj-NL,Colorado,3,3,1.0,1.0,,18.1,18,8,6,2,13,3,1,2.95,68,4,1,0,3,1,1,0,1,72,270,0.66,0.19,0.09,0.43,0.21,0.05,1.091,0.283,6.4,6.5,607536
Max Fried,31,1,Maj-AL,New York,6,6,3.0,2.0,,38.0,32,14,13,5,37,4,2,3.08,141,4,1,0,5,0,3,0,2,148,586,0.64,0.15,0.13,0.53,0.2,0.09,0.974,0.28,8.8,7.4,608331
Didier Fuentes,20,1,Maj-NL,Atlanta,2,2,,2.0,,8.1,14,10,10,1,4,3,1,10.8,37,2,0,0,1,1,0,1,0,40,161,0.64,0.13,0.08,0.26,0.35,0.03,1.8,0.355,4.3,4.0,800311
Zac Gallen,29,1,Maj-NL,Arizona,6,6,2.0,3.0,,35.1,40,29,26,13,25,9,0,6.62,143,6,0,0,5,0,1,1,1,156,549,0.66,0.21,0.1,0.47,0.21,0.01,1.5,0.284,6.4,1.92,668678
Kevin Gausman,34,0,Maj-AL,Toronto,5,5,1.0,2.0,,28.0,25,17,17,13,29,4,3,5.46,105,6,0,0,2,0,5,0,0,122,480,0.64,0.15,0.11,0.32,0.29,0.1,1.357,0.292,9.3,2.23,592332
Cade Gibson,27,0,Maj-NL,Miami,9,1,2.0,,,11.0,7,3,3,2,9,0,2,2.45,39,1,0,0,1,0,1,0,0,43,161,0.64,0.16,0.12,0.53,0.27,0.03,0.818,0.233,7.4,4.5,806188
Logan Gilbert,28,4,Maj-AL,Seattle,2,2,1.0,1.0,,10.0,11,6,6,1,16,4,0,5.4,40,0,1,0,0,0,1,1,0,41,174,0.69,0.1,0.2,0.25,0.21,0.13,1.2,0.35,14.4,16.0,669302
Lucas Giolito,30,4,Maj-AL,Boston,5,5,2.0,,,24.1,23,13,10,9,23,3,0,3.7,91,4,1,0,3,1,2,0,1,102,400,0.63,0.17,0.11,0.34,0.3,0.13,1.315,0.303,8.5,2.56,608337
Sawyer Gipson-Long,27,5,Maj-AL,Detroit,4,1,,,,17.2,17,10,9,2,13,3,1,4.58,65,5,0,0,1,3,1,2,1,71,244,0.71,0.18,0.1,0.4,0.2,0.07,1.075,0.269,6.6,6.5,687830
Austin Gomber,31,0,Maj-NL,Colorado,3,3,,1.0,,14.2,18,10,10,3,5,3,0,6.14,59,4,1,0,2,0,1,0,0,63,234,0.7,0.15,0.09,0.27,0.24,0.07,1.432,0.294,3.1,1.67,596295
Tony Gonsolin,31,22,Maj-NL,Los Angeles,2,2,1.0,1.0,,11.0,9,8,7,6,10,5,2,5.73,41,0,0,0,2,0,1,0,0,49,181,0.63,0.18,0.12,0.52,0.16,0.03,1.364,0.154,8.2,1.67,664062
Colton Gordon,26,1,Maj-AL,Houston,5,5,3.0,1.0,,26.0,29,10,9,3,24,6,0,3.12,104,4,0,1,2,0,0,0,0,107,423,0.67,0.15,0.1,0.36,0.34,0.1,1.231,0.311,8.3,8.0,676467
Tanner Gordon,27,29,Maj-NL,Colorado,1,1,,1.0,,4.2,6,2,2,0,1,1,0,3.86,19,1,0,0,1,0,1,0,0,19,79,0.71,0.1,0.08,0.56,0.17,0.06,1.286,0.294,1.9,,685299
MacKenzie Gore,26,1,Maj-NL,Washington,6,6,1.0,3.0,,36.2,32,11,10,9,36,3,2,2.45,137,4,0,0,1,1,4,3,0,149,579,0.63,0.12,0.13,0.4,0.2,0.1,1.118,0.293,8.8,4.0,669022
Sonny Gray,35,5,Maj-NL,St. Louis,4,4,2.0,1.0,,22.2,25,7,7,4,24,1,1,2.78,88,4,2,0,2,0,1,1,1,93,337,0.66,0.16,0.13,0.47,0.28,0.05,1.279,0.381,9.5,6.0,543243
Hunter Greene,25,23,Maj-NL,Cincinnati,2,2,,1.0,,10.0,12,4,4,4,10,1,0,3.6,39,3,0,0,0,0,1,1,1,44,173,0.68,0.18,0.09,0.23,0.47,0.13,1.6,0.393,9.0,2.5,668881
Ryan Gusto,26,4,Maj-AL,Houston,5,5,2.0,1.0,,25.0,28,13,13,7,29,3,1,4.68,100,5,0,0,2,2,5,0,0,110,423,0.66,0.18,0.11,0.4,0.29,0.11,1.4,0.357,10.4,4.14,687473
DL Hall,26,4,Maj-NL,Milwaukee,6,2,,,,12.1,6,4,4,7,9,1,0,2.92,43,1,0,0,0,0,0,0,0,50,195,0.58,0.18,0.08,0.38,0.26,0.09,1.054,0.152,6.6,1.29,669084
Emerson Hancock,26,0,Maj-AL,Seattle,6,6,1.0,2.0,,32.0,21,16,16,15,24,7,2,4.5,110,2,0,0,5,0,0,1,1,128,502,0.63,0.14,0.09,0.4,0.22,0.09,1.125,0.177,6.8,1.6,676106
Kyle Harrison,23,16,Maj-NL,San Francisco,3,3,1.0,,,14.1,14,8,8,6,14,2,0,5.02,56,3,1,0,0,0,1,1,0,62,254,0.65,0.15,0.12,0.38,0.26,0.05,1.395,0.3,8.8,2.33,690986
Kyle Hart,32,29,Maj-NL,San Diego,1,1,,,,4.2,6,5,5,0,1,2,0,9.64,20,1,0,0,0,0,0,0,0,20,57,0.68,0.21,0.05,0.11,0.32,0.0,1.286,0.235,1.9,,606996
Andrew Heaney,34,2,Maj-NL,Pittsburgh,5,5,,3.0,,25.2,28,20,20,6,20,7,0,7.01,99,7,0,0,0,3,0,1,0,109,404,0.62,0.18,0.08,0.25,0.3,0.1,1.325,0.28,7.0,3.33,571760
Kyle Hendricks,35,4,Maj-AL,Los Angeles,5,5,3.0,,,28.2,34,16,13,7,22,5,1,4.08,118,7,2,3,2,2,7,0,0,128,426,0.7,0.19,0.08,0.42,0.21,0.11,1.43,0.312,6.9,3.14,543294
